“海尔，这是阿包特·泰姆”这句台词出自哪款游戏？星际争霸2 
被成为“一生万物、万物归一者”的是 Yog-Sothoth 
Βios

#79 《凉宫春日的忧郁》中谁是“外星人”？
长门有希

#80 执导动画电影《秒速5CM》的日本导演是？
新海诚 

#81 动画《Fate/zero》中，宝具Ex-calibur是什么
誓约胜利之剑 

#82 《零之使魔》中女主人公叫什么名字
露易丝 

#83 《生化危机》系列中曾经说过“我的工资高到不行”的男主角是?
里昂

#84 水分子的键角是？
104.5 

#85 以下哪个游戏属于地域压制型模拟游戏？
大帝国 

#86 我国第一款图形化MUD网游叫什么？
《万王之王》 

#87 《无头骑士异闻录》中纪田正臣的恋人是谁？
三岛沙树

#88 《jojo的奇妙冒险》里一生坠过4次机的男人是谁？
乔瑟夫•乔斯达 
#89 《轻音少女》中“吉太”的品牌是...？
Gibson

#90 力的单位是什么？
牛顿 

#91 以下哪句话不是金坷垃-老外打架篇 中的台词
在美国我们都用金坷垃

#92 《我的女神》的漫画作者是？
藤岛康介 

#93 革命机Valvrave中，真历71年人类将总人口的几成送向了宇宙？
七成 

#94 以下不是i‘m enterprise声优事务所的是？
崛江由衣 

#95 伊苏里被双子女神所守护的古代七至宝之一是什么（猜）
黑珍珠 

#96 《萨尔达传说-梦见岛DX》达成完美结局的条件是什么？
全程不死

#97 巴卫在遇到奈奈生前的主人是谁
御影

#98 鬼火出自东方Project系列中的哪一作？
东方红魔馆 

#99 阿卡林是哪个动漫女主的外号
赤座灯里

#100 以下属于日本的弹幕网站是？
NICONICO #1 把渚送上本垒吧，是谁说的？
藤林杏

#2 “只要杀了他，雪忆随便你搞”出自？
雾之本境 

#3 高达UC系列中下列哪一款MS不是吉恩军的？
高扎古 

#4 在动漫《叛逆的鲁路修》中，C.C.的头发的颜色是？
绿色

#5 MUGEN实际上是一种？
格斗游戏

#6 抛物线y^2=4x的准线方程是？
直线x= -1

#7 最炫民族风在B站最早出现于哪部视频？
金凯瑞同步（我猜的） 

#8 下面哪个人物不是东方鬼畜三人组之一
十六夜咲夜 

#9《FATE》中saber不愿意被士狼看到自己洗澡的原因是
纯害羞

#10《龙珠》中最强的地球人小林的妻子是谁？
人造人18号

#11 招牌口头禅是うるさい うるさい うるさい是哪位动漫人物？
夏娜

#12 造成温室效应最重要的气体是？
二氧化碳

#13《叛逆的鲁鲁修》中的鲁鲁修的配音是谁?
福山润

#14 以下哪项不是小畑健的作品？
《龙珠》

#15 《玉子超市》中牧野神奈的配音是谁？
长妻树里

#16 EVA中男主角操作的是几号机？
初号机

#17 《银魂》中神乐喜欢吃的食物是什么？
醋昆布

#18 《半条命》系列主角毕业于哪所理工科院校？
麻省理工

#19 MUGEN是以下哪个单词？
无限

#20 大家经常空耳的神曲“阿姨说”是哪一部动画里面的？
地球防卫少年

#21 抛弃DT，LET'S GO ____？
ED

#22 两仪式有几个人格
3

#23 电影版三只小猪中小猪的爸爸死后被做成什么
香肠

#24 小野不由美创作、山田章博绘制封面和插图的架空奇幻小说中出现了几个国家？ 
12(《十二国记》)

#25 爱酱大胜利出自哪部动画 
夹在我女友和青梅竹马间的各种修罗场 
#26 K-on中‘中野 梓’的外号叫什么
梓喵

#27 以下哪位最不可能是绅(hen)士(tai)或淑(hen)女(tai)？
长门有希

#28 《命运石之门》中最终达到的SG世界线的世界线变动率是多少？
1.048596%

#29 动漫《缘之空》的女主角叫什么名字？
春日野穹

#30 《Fate/Zero》英雄王吉尔伽美什的外号叫什么？
金闪闪 

#31 俺妹中高坂凶介是高坂京介吗？
是

#32 游戏《星际争霸1》原版中能够隐形的作战单位是以下哪一个？
Wraith

#33 《to love》中西连寺春菜养的那只狗叫什么名字？ 
马隆

#34 歌姬kalafina的歌曲oblivious是哪部动漫的主题曲？
空之境界

#35 金坷垃的原产地位于？
圣地亚哥

#36 因广开后宫而被称作“诚哥”的动漫人物出自以下哪部动漫？
《School Days》

#37 《海贼王》中路飞当下的悬赏金是多少？
4亿（13.7.13百科上为4亿）

#38 【夜神月】千本樱 ——你认为此视频最有可能出现在哪里？
二次元鬼畜

#39 哪个不属于“钉宫四萌”？
神乐（夏娜，露易丝，逢坂大河，三千院凪为钉宫四萌）

#40 刺客信条系列由什么公司制作？
育碧

#41 “菲特今晚留下来”指的是哪一部动画？
fate stay night

#42 以下4位谢皮利中谁是用铁球的？
杰洛·谢皮利 

#43 石田彰做过哪位人物的声优？
渚薰

#44 《魔法少女小圆》中学姐死的时候失去了身体的哪一部分？
头 

#45 提供代价就能为你实现愿望的“次元之魔女”自称
壹原侑子

#46 以下哪个不是哲♂学三信？
激励之心（容许之心、告诫之心、赞美之心为哲♂学三信）

#47 东方project中的重要角色博丽灵梦在天朝的别称叫什么？
无节操（身着红白二色的巫女服得名红白，类似规则般的存在，“什么都管”（踢馆。。。戏称城管），号称10W什么都干的无节操）

#48 魔兽世界的英文简称是？
wow 

#49 以下哪一部不是出自CLAMP笔下
绅士同盟 圣传 小鸠 翼年代记（答案：绅士同盟）

#50 因为当妈的出现所以在绝对能力者计划中在一方手下得救的妹妹编号是？
10032 
#51 银魂中莲蓬篇里面伊丽莎白的代号叫什么
江莲

#52 哪位人物属于教科书式的傲娇？
贝吉塔

#53 下列属于酸的是？
H2SO4（氯化氢怎么破）

#54 轻小说《物语系列》的作者是谁
西尾维新

#55 请问下列哪个动漫名字正确？
会长是女仆大人

#56 天灾第一视角dota解说满楼水平被大家亲切地称为什么
撒萌萌

#57 混沌武士的女主在寻找带着___香味的武士
向日葵

#58 动漫《灌篮高手》中，下列哪支队伍是湘北队没有击败过的？
海南队

#59 以下哪家动画公司，有“二大爷”这个昵称？
BONES（好像都有人叫二大爷）

#60 烙印战士中主角格斯用的大剑叫什么名字？
斩龙剑

#61 马里奥最初的名字叫什么
跳跳人(JumpMan)

#62 谢菲尔德将军是被肥皂用什么武器干掉的？
飞刀

#63 刀剑神域里SAO最上层叫什么名字？
红玉宫

#64 JOJO奇妙冒险前六部中，人称屌爷的少年全名是 
Dio Brando 

#65 以下哪个人物是LOL中的英雄
赏金猎人

#66 机战OG2第15话中将哪位四天王最后击破会有特殊奖励？
梅基保斯

#67 中国国际动漫展每年在哪里举办？
杭州 

#68 以下企业以生产显卡闻名的是？
NVIDIA（英伟达）

#69 雪融化后会变成什么? 
春天

#70 被音MAD众称之为导师的人是谁
松冈修造

#71 蜂蜜与四叶草第二季第12话竹本佑太的声优因为什么原因要由野岛健儿代替 
车祸

#72 “岚龙”出现在“怪物猎人”的哪个作品中？
怪物猎人P3 

#73 巴麻美是第几集掉头的？
三

#74 APH中的中立国是哪两个国家
瑞士、列支敦士登 

#75 《只有神知道的世界》桂木桂马攻略之神模式下最多能同时攻略多少游戏
24 
MicrosoftInternetExplorer402DocumentNotSpecified7.8Normal0
#76 《空之境界》隐藏话独有的一首曲子叫什么？ 
snow falling 

#77 伊克西翁传说DT中，福山润所配的人物是
公主专属的侍♂女 

#78 以下哪部动画的制作公司与其他三项不同？
《真实之泪》（海猫鸣泣、世界第一初恋、滑头鬼都是studio deen的）

#79 《俺女友与青梅竹马的惨烈修罗场》4位女主角银色头发的是谁? 
夏川真凉

#80 C7H16有几种同分异构体
9 

#81 ED是什么意思
片尾曲

#82 下面有哪一位的能力是“空间移动（Teleport）”
白井黑子

#83 与东方Project、寒蝉鸣泣之时并称日本同人游戏界的三大奇迹的是
月姬

#84 那位不是平成四大歌姬
平野绫 宇多田光 仓木麻衣 滨崎步(答案：平野绫)

#85《俺妹》中的五更瑠璃的配音是谁? 
花泽香菜

#86 东方系列里头上戴着蛇和青蛙造型的发饰的人是谁
东风谷早苗 

#87《JoJo的奇妙冒险》漫画连载了多少年才被动画化？
25 
#88 罗小黑战记中小黑的配音是谁？
山新

#89《犬夜叉》中杀生丸最后获得了自己的刀，那把刀的名字叫做？
爆碎牙

#90《chaos；head（混沌头）》中，男主角西条拓巳最喜欢的动画角色是哪位？
星来?奥露洁尔

#91 <花牌>和<恋连>告诉我们，名字叫（）的都是苦逼
太一

#92《轻音少女》中秋山澪的CV是谁
日笠阳子 

#93 以下哪首歌，不是出自《超时空要塞》系列？
梦想歌（出自《传颂之物》）

#94 动漫中转学生一般不可能是？
普通学生

#95 《tolove》中男主结城梨斗被菈菈变成女生之后叫什么名字？
夕崎梨子

#96 以下哪个软件不是与音频制作相关的
Photoshop

#97 key社以下哪一部作品不是由京都动画改编？
Little Busters! AIR CLANNAD Kanon (答案：little Busters！J.C.STAFF的)

#98 除了京都动漫社，还有哪家公司做过《kanon》的TV版？
东映社 

#99 但丁和维吉尔的刀叫什么名字? 
叛逆、阎魔刀 

#100 《飞轮少年》中南树最后成了哪个道的王
凯岚之道 
#1 在游戏《Narcissu（水仙）》中，为濑津美提供泳衣的公司是？ 
白石建筑公司

#2 以下谁不是拥有双色瞳的人 
上条当麻(一堆双色瞳http://baike.baidu.com/view/4240849.htm#3 )

#3 《无头骑士异闻录》中的无头骑士是谁？ 
Sturluson Celty

#4 FFF团的出处是哪里呢？
笨蛋，测验，召唤兽 

#5 游戏《暗黑血统2》最后Death将什么交给了Crowfather 
面具

#6 《仙剑奇侠传5》的男主角叫什么？ 
姜云凡 

#7 动漫《凉宫春日的忧郁》中，女主角凉宫春日所创建的社团名字是？
SOS团

#8 saber的声优是谁？
川澄绫子

#9 命运石之门中谁又被叫做“助手”？
牧濑 红莉栖

#10 花泽香菜在《友少》配音的角色是谁？ 
羽濑川小鸠

#11 杉田智和的好基友，在银魂中出演另一个姓坂田角色的人是谁？ 
中村悠一

#12 欧派教的教主是谁
神谷浩史 

#13 《死神》中蓝染惣右介的斩魄刀叫什么？ 
镜花水月 

#14 命运石之门里最初的时间机是运用的哪种电器？ 
微波炉

#15 TO LOVE中大家喜闻乐见的小姨子是谁
梦梦

#16 变态王子与不笑猫中被猫神附身的是？ 
小豆 梓 

#17 心理测量者中日本采用什么系统鉴定罪犯？ 
先知系统 

#18 天元突破的男主角是谁？ 
西蒙 

#19 幻想乡里威严镇四方的那谁（三个汉子） 
大小姐 

#20 下列哪首歌以毕业为主题
3月9日

#21 炮姐的胖次是什么颜色的？ 
不知道（未解之谜，有说黄色的有说呱太的。。）

#22 哪部作品出现过动物“山魈
白熊咖啡店

#23 以下不属于轻小说改编的动画
钢之炼金术师 

#24 游戏《大航海时代4》原始版中的隐藏主角是谁？
李华梅 

#25 《化物语》中忍野忍的眼睛是什么颜色？
金色 
#26 下列哪一位不是经典国产动画中的主人公？ 
海绵宝宝 

#27 以下作品中，樱井孝宏没有参与演出的是?
<今天开始做魔王> <夏目友人帐·续> <神的记事本> 
<虹色萤火虫～永远的暑假～> （答案：虹色萤火虫）

#28 以下哪项不是对元首的描述？ 
多次自杀 中文十级 从河北省来 掌握神之颤抖 （答案：多次自杀）

#29 下面不属于《高达》系列中“黑色三连星”的人是？
盖亚 奥尔迪加 马休 布列尼夫（答案：布列尼夫乱入）

#30 在口袋妖怪游戏中，lv100的暴鲤龙的速度要最低达到多少才可以在使用一次龙舞后超过种族值为130的对手 
264

#31 《战车与少女》中的女主角叫什么名字
西住美惠 

#32 我大KONAMI社的万年秘籍是？
↑↑↓↓←→←→BA

#33 《数码宝贝》中勇气的徽章是什么颜色的？ 
橙色 

#34 下列哪个人物不是vocaloid家族的人物
洛天依 Misa Len Luka（答案：Misa不是）

#35《樱花庄的宠物女孩》中的宠物少女是指谁呢？
椎名真白

#36 北斗神拳里的南斗水鸟拳—雷伊必杀技奥义名字为下列哪个
飞翔白丽

#37 以下哪一款RPG（角色扮演游戏）属于JRPG（日式角色扮演游戏）？ 
最终幻想

#38 配音演员葛平因为为哪个角色配音而广为人知？
蓝猫

#39 《神奇宝贝 特别篇》中的路比一直隐藏的第六个口袋妖怪是什么？ 
雪拉比

#40 下列哪一个不是《魔兽世界》中部落阵营的种族？
狼人

#41 蔷薇少女一共是有几位人偶 
7

#42 《反叛的鲁鲁修》中，最后一集在“ZERO”的假面之下，杀死主人公鲁鲁修的是谁？ 
朱雀

#43 《 某科学的超电磁炮》中最后之作的检体番号是多少？
检体番号20001 

#44 《冥王神话LC》中雅柏菲卡的配音是？
神谷浩史

#45 阿三喜欢玩什么 
泥巴

#46 《进击的巨人》里三笠是什么种族 
人类

#47 下列不属于生物化学范畴的是 
生物体分子结构 

#48 下列哪种角色不属于暴雪游戏《暗黑破坏神3》？ 
程序员

#49 一方通行攻略了的御坂妹个体编号为？ 
20001

#50 魔法少女小圆中，圆神的头发是什么颜色的？ 
粉色 
#51 以下谁是nico唱见 
新社会人（唱见百科词条）

#52 以下哪个游戏不是EA出品？ 
战地 镜之边缘 死亡空间 刺客信条（答案：刺客，是育碧的）

#53 《幸运星》是谁原作的四格漫画 
美水镜

#54 仙水忍的好基友是谁
树

#55 《火影忍者》中的主角是以下哪位？ 
漩涡鸣人

#56 以下哪一部动画是庵野秀明的导演处女作？ 
飞越巅峰 

#57 国内原创动漫《尸兄》主人公叫啥？ 
小飞

#58 欢乐颂是贝多芬第几交响曲中的 
第九交响曲 

#59 RWBY中的R指的是谁？
Ruby（戏称小红帽。。逆袭）

#60 《沙耶之歌》中男主在全灭结局最后一战使用的武器是： 
斧头

#61 iphone 4之后苹果推出的手机是 
iphone 4S

#62 以下哪一款游戏不属于赛车类游戏
The Elder Scrolls

#63 自2012年起，世萌提名分为新星组（Nova）和______组（Stella）
恒星

#64 平时看B站动画的时候看见233333字样的弹幕是什么意思 
大笑

#65 第一宇宙速度是？km/s 
7.9

#66 谁罪大滔天，搞到百姓怨声载道 
索尼 

#67 魔兽世界里的联盟英雄吉安娜是什么职业 
法师

#68 下列著名科学人物中不是左撇子的是？ 
玛丽·居里 阿尔伯特·爱因斯坦 艾萨克·牛顿 迈克尔·法拉第 (法拉第不是)

#69 灵梦的全名叫什么
博丽灵梦

#70 恋爱养成游戏鼻祖“心跳回忆~永远属于你”的女主角叫什么名字？ 
藤崎诗织 

#71 在国内被誉为三大同人歌姬的人不包括？
片雾烈火 叶月ゆら 茶太 霜月はるか（答案：叶月ゆら）

#72 EVA中，凌波丽的房间门牌号是多少？ 
402

#73 下面哪位演员没有出演过“少年包青天”中的包青天？ 
严宽

#74 动画《回转企鹅罐》的监督是谁？
几原邦彦

#75 下列哪一样不是中华一番中的传说中的厨具？
永灵刀 魔圣铜器 转龙壶 冰魄刀（答案：冰魄刀） 
#76 海贼的男主角戴着的是什么 
草帽

#77 哈努曼与奥特兄弟中战队队服出自哪部奥特曼？ 
（无力了）

#78 声优喜多村英梨和同事务所的哪位女声优结成了组合“ARTERY VEIN” 
今井麻美 

#79 jojo的奇妙冒险中，第四代jojo是的替身是？ 
疯狂钻石

#80 以下哪首游戏歌曲的完整版没有在TЁЯRA的专辑RЁVOLUTIФN中出现？ 
梦幻ノ光 RЁVOLUTIФN Raspberry▽Heart ULTiM∧TE (T_T有知道的帮下忙吧)

#81 兵部京介是怎么称呼明石薰的？ 
children 

#82 绫崎飒一开始欠下的债务是 
¥150000000 （一亿五千万）

#83 《白熊咖啡厅》里的白熊的CV是谁？ 
樱井孝宏 

#84 加速世界黑雪姬的配音是谁
三泽纱千香 

#85 《强袭魔女》中下列哪个角色不是来自卡尔斯兰？ 
米娜·底特瑞奇·威欧克 艾瑞卡·哈特曼 萨妮娅·V·利特维亚克 歌尔特露特·巴克霍隆 （答案：萨妮娅）

#86 罪恶王冠的英文缩写是什么 
GC

#87 《黑子的篮球》中的绿间真太郎的配音是谁？
野大辅

#88 《暗黑破坏神2》中的职业不包括 
巫医

#89 量子力学的创始人是？ 
普朗克 

#90 下列元素中电负性最大的是？ 
氧

#91 通常来说的声优“御三家”是指水树奈奈、田村由加莉与？
堀江由衣

#92 哲♂学摔跤系列里被称为兄贵的是？
比利海灵顿

#93 《荒川爆笑团》中的村长是谁？ 
河童

#94 以下哪位不是世界知名的数学家？ 
爱因斯坦

#95《加速世界》中，主人公的名字是？ 
有田春雪 

#96 萝莉有三好……，……，……
轻音、柔体、易推倒

#97 无头骑士异闻录中出演平和岛静雄的声优是哪位？ 
小野大辅

#98 动画《魔笛》中小野大辅配音的角色叫什么？
辛巴德

#99 化学中，苦味酸是___ 
三硝基苯酚 

#100《自恋刑警》小暮己在逮捕犯人时，会将逮捕状与____一起出示给对方 
结婚申请书 



 
 

1d下列哪种立体匹配算法不是全局匹配算法？
BP SSD 动态规划 图割 
B
#2 以下哪个声优不是游戏《starry sky》的声优
绿川光 小野大辅 宫野真守 森川智之 
D
#3 命运石之门中，助手2CH上的ID是什么
孙悟饭与龟波功 栗悟饭与龟派气功 孙悟饭与龟派气功 栗悟饭与龟波功 

#4 负责动画制作中背景部分的画面质量、效果的检验与调控的职务是______？
美术监督 背景监督 色彩设定 作画监督 
A
#5 幽灵行军不是谁的固有结界
白骑士 布拉德 梵·斐姆 斯菲尔丁 
B
#6 最终幻想VIII中登场的女主角为：
蒂法 莉诺雅 尤娜 雷霆 
B
#7 《幸运星》中常和此方一起玩网游的是
唯姐 小镜 此方爸 老师 
D
#8 USB3.0 的插口通常为何种颜色？
紫 蓝 橙 黑 
B
#9 下列出自东方project的角色中，种族为人类的是？
红美铃 帕秋莉·诺蕾姬 蓬莱山辉夜 十六夜咲夜 
#10 以下哪名聲優沒有出演過高達駕駛員的角色？
鈴村健一 宮野真守 保志總一朗 杉田智和 
#11 “只要杀了他，雪忆随便你搞”出自？
雾之本境 雪之本境 森之本境 雨之本境 
A
#12 庵野秀明曾经在吉卜力动画工作时参与过哪部动画的设计？
《风之谷》 《黑猫警长》 《蓝猫淘气三千问》 《千与千寻》 
A
#13 下列哪种物质是典型的Lewis酸
五氟化锑 一氧化碳 氨 氰离子 
C
#14 暴漫中“荆轲刺秦王”的下一句是
小孩纸不要看暴漫 两条毛腿肩上扛 从此荆轲上班不再迟到 小菊花傲娇 
B
#15 bilibili视频缓冲的时候会看到一个抖动的——？
电脑 电冰箱 电视 电扇 
C
#16 以下哪个是《某科学的超电磁炮》《黑子的篮球》《潜行吧！奈亚子 》的共同点
篮球 黑子的声优 黑子 炮姐 
C
#17 千反田爱瑠最常说的一句话是什么？
私は気になります！ どうしよう！ そうなんですか～ 折木さん違いますよ～ 
A
#18 《DOTA》中哪个英雄拥有的技能最多？
地卜师 影魔 召唤师（祈求者） 光之守卫 
D
#19 动画《银魂》中Hata王子来自哪个星球？
翠星 多古拉星 耻球 央国星 
D
#20 《中二病也要谈恋爱》中富樫勇太妄想时的设定是？
Black Flame Master Deep Dark Fantasy Dark Frame Master Dark Flame Master 
Dark Frame Master
#21 《魔法少女小圆》的导演是谁？
新海诚 虚渊玄 宫崎骏 新房昭之 
D
#22 《生化危机》系列中曾经说过“我的工资高到不行”的男主角是?
克里斯 吉尔 里昂 威斯克 
C
#23 “世界已完蛋”来自于哪部作品OP的空耳？
中二病也要谈恋爱 幸运星 日常 潜行吧奈亚子 
D
#24 神乐没有追上黄泉，黄泉独自一人走远的ED画面是从第_话开始的
5 7 9 11 
#25 油淋鸡回锅肉棒棒鸡是哪个声优说的
神谷浩史 福山润 宫野真守 小野大辅 
#26 《星际牛仔》于2001年推出的剧场版名为
《星际牛仔：天堂之戟》 《星际牛仔：天朝之墙》 《星际牛仔：天上人间》 《星际牛仔：天国之扉》
D 
#27 圣斗士星矢的原作者是谁？
井上雄彦 鸟山明 车田正美 藤子·F·不二雄 
C
#28 以下不属于轻小说改编的动画
凉宫春日的忧郁 钢之炼金术师 刀剑神域 龙与虎 
B
#29 北斗神拳里的南斗水鸟拳—雷伊 必杀技奥义名字为下列哪个
飞翔白丽 飞鸟水丽 飞鸟白丽 飞翔冰丽 
A
#30 『clannad』中的主题曲「团子大家族」是由什么歌曲改编的？
小小的心灵 小小的手心 大大的手心 大大的心灵 
B
#31 动漫（雪之少女）泽渡真琴，的口头禅是什么
啊呜 啊呀 啊唔 啊哦 
A
#32 EVA中，明日香的母亲叫什么？
赤木直子 恭子·齐柏林 绫波唯 碇唯 
B
#33 《暗黑破坏神》的开发商是哪家？
Blizzard W-inds 嵐 晴天小猪 
A
#34 动画<天使的心跳>英文缩写是
AB CF BF AG 
A
#35 下面四个动漫角色中不属于钉宫四萌的是哪一个
三千院凪 逢坂大河 夏娜 神崎·H·亚里亚 
D
#36 《高达seed》基拉大和最初机体是哪架？
强袭嫣红高达 强袭高达 强袭自由 自由高达 
B
#37 以下哪个女性角色和凌波丽的声优是同一人
天上欧蒂娜 菲·瓦伦丁 拉克丝·克莱因 木之本樱 
B
#38 木之本樱被称为初代是因为？
初代魔法少女 网友的入宅作 CLAMP初代作品 初代萌王 
D
#39 被称为“生化危机之父”的人是？
三上真司 三下真司 三右真司 三左真司 
A
#40 T-34坦克Mod1939配备的主炮口径多大
75.5mm 76mm 85mm 76.2mm 
#41 御坂妹妹内裤的颜色
黑白 蓝白 黄白 红白 
B
#42 在第5次圣杯战争中本不应该出现的，规则外的英灵是：
弓兵 基尔迦美什 狂战士 吕布奉先 复仇者 安拉·曼纽 暗杀者 佐佐木小次郎 
A
#43 下列不是暴雪公司所制作的游戏的是哪一项？
星际争霸 极品飞车 暗黑破坏神 魔兽世界 
B
#44 下列哪种语言在语言学文法分类上属于多式综合语？
切罗基语 萨米语 泰米尔语 巴布亚皮钦语 
A
#45 以下哪位CV还未在银魂中来毁过？
关俊彦 平野绫 关智一 川澄绫子 
#46 美树沙耶加所爱的人是谁？
上条美琴 上条恭介 上条诗菜 上条当麻 
B
#47 刀剑神域中莉法是桐人的什么人？
妻子 姐姐 女儿 妹妹 
D
#48 1986年随FC一同发售了3款游戏，《大金刚》、《大金刚JR》、《大力水手》那么这3款游戏的制作来源正确的是
由本社另行开发 .与其他公司共同开发 从本公司的街机游戏移植 其他厂商代为开发 
A
#49 以下哪部动画不是京阿尼的作品？
轻音少女 冰菓 我女友与青梅竹马的惨烈修罗场 玉子市场 
C
#50 CLANNAD的原作出自？
KEY社 京阿尼 骨头社 型月社 
A
#51 东方Project正作中某紫发魔女被她的吸血鬼朋友称为？
帕秋莉 爱妃 帕琪 姆Q！ 
D
#52 金坷垃不能辅助农作物吸收哪种元素？
钾 钙 磷 氮 
B
#53 常陆院光通常头发是左分还是右分？
右分 中分 左分 齐刘海！ 
C
#54 小鸟游六花的姐姐全名是什么？
小鸟游十花 小鸟游九花 小鸟游七花 小鸟游八花 
A
#55 德国四号坦克有几个成员
3个 5个 6个 4个 
#56 天朝手机号是几位数字
8位 12位 10位 11位 
D
#57 夏亚的机体被称为什么
红色有角三倍速 白色有角三倍速 白色独角三倍速 红色独角三倍速 
A
#58 动画《code geass 叛逆的鲁路修》的监督是谁？
谷口悟朗 山本宽 宫崎吾朗 新房昭之 
A
#59 银魂里面的万事屋的白色的、巨型的狗的名字是什么？
大白 定春 小白 球球 
B
#60 以下选项中,哪个不是对网游《坦克世界》中S系坦克歼击车704工程顶级炮的称呼？
季老师 基佬十 百合⑩ BL-10 
C
#61 《蝉鸣之时》中“男人变态没什么不好的!男人就要变态!”是谁的台词？
入江京介 富竹次郎 大石藏人 前田圭一 
#62 《逆境无赖开司》中伊藤开司通过什么游戏赢了利根川幸雄？
D卡 A卡 C卡 E卡 
D
#63 以”你是我的自慰对象“来表白的行为，出自？
恋爱随意链接 中二病也要谈恋爱 刀剑神域 樱花庄的宠物女孩 
A
#64 IBM5100的CPU型号？
P-II P-0 P-I P-III 
D
#65 “今天的风儿好喧嚣啊”的出处？
AIR 男子高中生的日常 中二病也要谈恋爱 空之境界 
B
#66 K-ON中平泽唯说琴吹紬的眉毛是什么?
红萝卜 三角板 腌萝卜 量角器 
C
#67 化学中，苦味酸是___
超盐酸 三硝基苯酚 三硝基乙苯 过二硫酸 
B
#68 动漫刀剑神域游戏sao到第几层才通关的？
76层 75层 100层 74层 
B
#69 下面哪个是国外运动品牌？
阿迪达斯 阿迪王 阿迪宙斯 阿迪雷斯 
A
#70 黄金圣斗士中是谁的手中藏有女神赐予的圣剑
双子座 水瓶座 魔蝎座 双鱼座 
C
#71 魔兽世界中，下列技能中哪个需要消耗连击点？
伏击 剔骨 影袭 杀戮盛宴 
A
#72 《JoJo的奇妙冒险》第五部中福葛的替身英文名是
King Crimson The World Mister President Purple Haze 
D
#73 人妻声优門脇舞以的马甲是？
杏子御津 桃子御津 橘子御津 梨子御津 
#74 TV动画《Air》 神尾观铃喜欢喝的 蜜桃果汁 浓缩度是多少？
200% 400% 300% 500% 
D
#75 Skip Beat是由谁创作的？
仲村佳树 高屋奈月 CLAMP 矢泽爱 
A
#76 《魔笛MAGI》主角是谁
阿里嘛嘛 阿里巴巴 阿里爸爸 阿里妈妈 
B
#77 KID公司的无限轮回系列三部曲不包括以下哪个？
REMENBER11 EVER17 NEVER7 FOEVER9 
D
#78 日本动画staff中的“监督”是什么意思？
监制 编剧 制片人 导演 
D
#79 “galgame”是指哪一类游戏?
破密游戏 角色扮演游戏 第一人称射击游戏 恋爱冒险游戏 
D
#80 《兽的演奏者艾琳》中的里岚是雄性还是雌性？
雌雄同体 雄性 雌性 人妖 
C
#81 石头门TV版里世界线最后一次跳动到了哪里呢？
10086 1.048596 1024 3.141592653 
#82 《中二病也要谈恋爱！》中的女主角是谁？
丹生谷森夏 富樫梦叶 小鸟游六花 巫部风铃 
C
#83 高达史上第一只哈罗是谁设计制作的？
刹那·F·清英 基拉·大和 阿姆罗·雷 多蒙·卡修 
C
#84 下列不属于生物化学范畴的是
药物与生物体的关系 遗传物质的分子基础 生物体组成的鉴定 生物体分子结构 
A
#85 胸不平何以平天下的下一句是？
乳不巨何以聚人心 乳不丰何以封人心 乳不大何以聚人心 乳不巨何以小韩奶 
A
#86 坂田银时的配刀叫什么
洞爷湖 胧村正 逆刃刀 斩月 
A
#87 《孤岛危机2》中的主角是谁？
Prophet Alcatraz Physco Ceph 
C
#88 以下哪项不属于诺贝尔奖的范畴？
化学 数学 物理 医学 
B
#89 以下墨镜男哪位不是《银魂》中的人物？
长谷川 松田阵平 松平片栗虎 河上万齐 
#90 动画《GOSICK》中，少女绑架拍卖案子中，最后和蓝蔷薇放在一个玻璃柜里的是什么
水晶 帽子 银杯 戒指 
#91 动漫地狱少女中女主角阎魔爱的配音是谁？
田中理惠 能登麻美子 钉宫理惠 花泽香菜 
B
#92 《银魂》里哪位不是170组成员？
桂小太郎 冲田总悟 神威 高杉晋助 
#93 《魔法的禁书目录》中的特殊能力是什么？
气功 魔法和超能力 查克拉 霸气 
C
#94 《c》中“冰菓”一词的真实含义是
Ice cream I scream 冰镇的水果 冰激凌的日式叫法 
A
#95 《蜡笔小新》中的阿呆喜欢什么东西？
汽水 植物 石头 鞋子 
C
#96 《化物语》中男主人公“阿良良木历”那广为流传的绰号是什么？
阿垃垃圾君 阿萝萝莉控 阿良良木健 阿变变态狂 
A
#97 金，木，水，火，___
土 士 十 王 
A
#98 请问《七龙珠》的作者是？
鸡山明 鸟山明 鸭山明 乌山明 
B
#99 《家庭教师》的作者是？
天野明 天野暗 南遥 武若丸 
A
#100 薛定谔因某个著名假说而获得了一下哪个外号？
虐猫狂人 虐蛇狂人 虐狗狂人 虐兔狂人 

B站注册答案1300题，大多都有的，配合百度搜索一下，70--80分没问题。本内容来自自己摸索和网络搜索合辑。
以下哪个游戏不是saga planets的作品
 Coming Humming  さくら、咲きました  キサラギGOLD★STAR  はつゆきさくら
战略大作战这部电影当中，主角们做了啥？
